eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2027-01-15,01/15,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,false,false,2027-01-15_jv_boys-basketball,2027-01-15_jv_boys-basketball.jpg,ae8d8a97-1c10-4845-8266-1f544f86f677
2027-01-19,01/19,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,false,false,2027-01-19_jv_boys-basketball,2027-01-19_jv_boys-basketball.jpg,93594f14-e526-4595-8d87-32287e84e11e
2027-01-22,01/22,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,false,false,2027-01-22_jv_boys-basketball,2027-01-22_jv_boys-basketball.jpg,b7ecbad6-4a5e-4148-8011-e765dedb271b
2027-01-23,01/23,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,West Branch,Warriors,West Branch Warriors,West Branch High School,false,false,2027-01-23_jv_boys-basketball,2027-01-23_jv_boys-basketball.jpg,205748cb-3828-41a5-b9e5-b4983407daca
2027-01-29,01/29,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2027-01-29_jv_boys-basketball,2027-01-29_jv_boys-basketball.jpg,f23eadc0-fb0d-4457-8ab7-477b56c5e296
2027-02-02,02/02,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,false,false,2027-02-02_jv_boys-basketball,2027-02-02_jv_boys-basketball.jpg,2774c88a-a300-4790-a6a3-4316a07d8e81
2027-02-05,02/05,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Hubbard,Eagles,Hubbard Eagles,Hubbard High School,false,false,2027-02-05_jv_boys-basketball,2027-02-05_jv_boys-basketball.jpg,1401cda8-2184-4f1b-b0f4-403d42c854e8
2027-02-09,02/09,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,false,false,2027-02-09_jv_boys-basketball,2027-02-09_jv_boys-basketball.jpg,4b09ea3d-6cbb-4da4-8e35-af5aea61ea4b
2027-02-12,02/12,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,South Range,Raiders,South Range Raiders,Poland Seminary High School,false,false,2027-02-12_jv_boys-basketball,2027-02-12_jv_boys-basketball.jpg,ce9acbc7-82ba-4cdc-9168-a81ff8d85a9c
2027-02-16,02/16,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,false,false,2027-02-16_jv_boys-basketball,2027-02-16_jv_boys-basketball.jpg,9e2db6f1-0419-489e-8eea-66b2507269f8
2027-02-19,02/19,Boys Basketball,boys-basketball,jv,JV,05:30 PM,Home,vs,Howland,Tigers,Howland Tigers,Poland Seminary High School,false,false,2027-02-19_jv_boys-basketball,2027-02-19_jv_boys-basketball.jpg,ecde7b1b-6e25-4206-91a8-2e9d91180c2b
