eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2026-12-16,12/16,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Home,vs,LAKEVIEW MIDDLE SCHOOL,,LAKEVIEW MIDDLE SCHOOL,Poland Seminary High School,false,false,2026-12-16_8th_girls-basketball,2026-12-16_8th_girls-basketball.jpg,291a109c-422b-4e8e-9780-4c4f4909d025
2026-12-21,12/21,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,false,false,2026-12-21_8th_boys-basketball,2026-12-21_8th_boys-basketball.jpg,3baaa11c-86b5-4120-af00-50e088080da9
2026-12-21,12/21,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2026-12-21_8th_girls-basketball,2026-12-21_8th_girls-basketball.jpg,34ea8cc3-99a4-4471-a4f2-aef49e933c56
2026-12-23,12/23,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Home,vs,Boardman Center Intermediate,,Boardman Center Intermediate,Poland Seminary High School,false,false,2026-12-23_8th_boys-basketball,2026-12-23_8th_boys-basketball.jpg,a0eb9783-e8f9-4310-ac5c-613520992cbc
2026-12-23,12/23,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Away,@,Boardman Center Intermediate,,Boardman Center Intermediate,GLENWOOD MIDDLE SCHOOL,false,false,2026-12-23_8th_girls-basketball,2026-12-23_8th_girls-basketball.jpg,36c1508e-d8ae-404a-8ce0-b22da35d257c
2027-01-06,01/06,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Home,vs,Hubbard MS,,Hubbard MS,Poland Seminary High School,false,false,2027-01-06_8th_boys-basketball,2027-01-06_8th_boys-basketball.jpg,7422829d-d899-4f48-b12c-b9d980b51176
2027-01-06,01/06,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Away,@,Hubbard MS,,Hubbard MS,Hubbard MS,false,false,2027-01-06_8th_girls-basketball,2027-01-06_8th_girls-basketball.jpg,5d6f5967-ed61-4667-b91b-becab7cdd876
2027-01-11,01/11,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Home,vs,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,Poland Seminary High School,false,false,2027-01-11_8th_boys-basketball,2027-01-11_8th_boys-basketball.jpg,0a2b970e-b76c-415a-bc64-c3a8366451ad
2027-01-11,01/11,Girls Basketball,girls-basketball,8th,8th Grade,06:00 PM,Away,@,STRUTHERS MIDDLE SCHOOL,,STRUTHERS MIDDLE SCHOOL,STRUTHERS MIDDLE SCHOOL,false,false,2027-01-11_8th_girls-basketball,2027-01-11_8th_girls-basketball.jpg,34d08ea1-45bd-466b-942e-b4dcbdcfa178
2027-01-13,01/13,Boys Basketball,boys-basketball,8th,8th Grade,06:00 PM,Away,@,South Range Middle School,,South Range Middle School,South Range Middle School,false,false,2027-01-13_8th_boys-basketball,2027-01-13_8th_boys-basketball.jpg,5e1bf63b-cfb4-426b-a49d-a7cd534e7eeb
