eventDate,cleanDate,season,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,isCancelled,isPostponed,isTimeTBD,conferenceGame,homeScore,awayScore,result,postSlug,posterFile,eventId
2026-04-15,04/15,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-04-15_boys-soccer,2026-04-15_boys-soccer.jpg,0c414e64-5786-47d7-a6a1-59dd40588fea
2026-04-16,04/16,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-04-16_boys-soccer,2026-04-16_boys-soccer.jpg,3832f708-0351-4cab-a302-cb287cffbe4b
2026-04-19,04/19,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Soccer (Boys V) Practice,,Practice: Soccer (Boys V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2026-04-19_boys-soccer,2026-04-19_boys-soccer.jpg,215dd860-2b43-4c45-82b6-fd64273995a8
2026-04-20,04/20,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-04-20_boys-soccer,2026-04-20_boys-soccer.jpg,bcd7619d-fadb-40be-af73-0f06c054d01a
2026-04-22,04/22,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-04-22_boys-soccer,2026-04-22_boys-soccer.jpg,c5e8667a-cba7-4364-bc55-9913c2324ad6
2026-04-26,04/26,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Soccer (Boys V) Practice,,Practice: Soccer (Boys V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2026-04-26_boys-soccer,2026-04-26_boys-soccer.jpg,2ddffd2c-d6c6-463b-b27b-b8d050258310
2026-04-27,04/27,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-04-27_boys-soccer,2026-04-27_boys-soccer.jpg,2b5b9b58-7924-4f69-9d6d-437697252c04
2026-04-29,04/29,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-04-29_boys-soccer,2026-04-29_boys-soccer.jpg,96acec40-11b0-4bdd-9f31-31fa32ee25c2
2026-05-03,05/03,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Soccer (Boys V) Practice,,Practice: Soccer (Boys V) Practice,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-03_boys-soccer,2026-05-03_boys-soccer.jpg,ce979d17-7ef7-4bf1-90a2-c46f1e186204
2026-05-04,05/04,2025,Boys Soccer,boys-soccer,varsity,Varsity,05:30 PM,Home,vs,Practice: Lift and Conditioning,,Practice: Lift and Conditioning,Poland Seminary High School,Practice,false,false,false,false,,,,2026-05-04_boys-soccer,2026-05-04_boys-soccer.jpg,ac5140ba-925d-4572-8b0d-223de7d725b5
