eventDate,cleanDate,sport,eventTime,vsOrAt,homeOrAway,opponent,opponentMascot,opponentComplete,location,postSlug,posterFile
2026-10-01,10/01,Boys Soccer,05:00 PM,vs,Home,Champion,Golden Flashes,Champion Golden Flashes,Poland Seminary High School,2026-10-01_boys-soccer,2026-10-01_boys-soccer.jpg
2026-10-01,10/01,Girls Soccer,07:00 PM,vs,Home,St. Vincent-St. Mary,Fighting Irish,St. Vincent-St. Mary Fighting Irish,Poland Seminary High School,2026-10-01_girls-soccer,2026-10-01_girls-soccer.jpg
2026-10-02,10/02,Football,07:00 PM,vs,Home,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,2026-10-02_football,2026-10-02_football.jpg
2026-10-03,10/03,Cross Country,06:00 PM,@,Away,Zombie Run,-,Zombie Run,Poland Township Park,2026-10-03_cross-country,2026-10-03_cross-country.jpg
2026-10-05,10/05,Girls Soccer,05:00 PM,@,Away,South Range,Raiders,South Range Raiders,South Range High School,2026-10-05_girls-soccer,2026-10-05_girls-soccer.jpg
2026-10-05,10/05,Volleyball,07:00 PM,vs,Home,Springfield,Tigers,Springfield Tigers,Poland Seminary High School,2026-10-05_volleyball,2026-10-05_volleyball.jpg
2026-10-05,10/05,Boys Soccer,07:00 PM,@,Away,South Range,Raiders,South Range Raiders,South Range High School,2026-10-05_boys-soccer,2026-10-05_boys-soccer.jpg
2026-10-06,10/06,Volleyball,07:00 PM,@,Away,Struthers,Wildcats,Struthers Wildcats,Struthers High School,2026-10-06_volleyball,2026-10-06_volleyball.jpg
2026-10-07,10/07,Girls Soccer,05:00 PM,vs,Home,Girard,Indians,Girard Indians,Poland Seminary High School,2026-10-07_girls-soccer,2026-10-07_girls-soccer.jpg
2026-10-07,10/07,Boys Soccer,07:00 PM,vs,Home,Girard,Indians,Girard Indians,Poland Seminary High School,2026-10-07_boys-soccer,2026-10-07_boys-soccer.jpg
2026-10-08,10/08,Volleyball,07:00 PM,vs,Home,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,2026-10-08_volleyball,2026-10-08_volleyball.jpg
