eventDate,cleanDate,sport,sportSlug,levelSlug,levelLabel,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,isCancelled,isTimeTBD,postSlug,posterFile,eventId
2025-09-22,09/22,Volleyball,volleyball,jv,JV,05:30 PM,Home,vs,Columbiana,Clippers,Columbiana Clippers,Poland Seminary High School,false,false,2025-09-22_jv_volleyball,2025-09-22_jv_volleyball.jpg,70f7e433-3dde-4ea6-8933-42bc020ca2c3
2025-09-23,09/23,Boys Soccer,boys-soccer,jv,JV,05:00 PM,Away,@,Crestview,Rebels,Crestview Rebels,Crestview High School (Columbiana),false,false,2025-09-23_jv_boys-soccer,2025-09-23_jv_boys-soccer.jpg,7f166bba-b216-4696-929f-d0f487cc1bba
2025-09-23,09/23,Volleyball,volleyball,jv,JV,05:30 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2025-09-23_jv_volleyball,2025-09-23_jv_volleyball.jpg,8e5708d7-2062-4f4e-9e12-3d8c707809f6
2025-09-25,09/25,Volleyball,volleyball,jv,JV,05:30 PM,Home,vs,Hubbard,Eagles,Hubbard Eagles,Poland Seminary High School,false,false,2025-09-25_jv_volleyball,2025-09-25_jv_volleyball.jpg,823c8bbd-6390-4e26-8b7f-5cd3c6b42c46
2025-09-27,09/27,Football,football,jv,JV,10:00 AM,Away,@,South Range,Raiders,South Range Raiders,South Range High School,false,false,2025-09-27_jv_football,2025-09-27_jv_football.jpg,704a539f-f306-4bcc-b23d-052507130612
2025-09-29,09/29,Volleyball,volleyball,jv,JV,05:30 PM,Home,vs,Chaney,Cowboys,Chaney Cowboys,Poland Seminary High School,false,false,2025-09-29_jv_volleyball,2025-09-29_jv_volleyball.jpg,59aa8e6d-53cc-4ee0-a9d1-696bb8cb3eb2
2025-10-02,10/02,Volleyball,volleyball,jv,JV,05:30 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,false,false,2025-10-02_jv_volleyball,2025-10-02_jv_volleyball.jpg,3b1207af-9894-4cac-a9ba-86855ac7ff1d
2025-10-04,10/04,Football,football,jv,JV,10:00 AM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,false,false,2025-10-04_jv_football,2025-10-04_jv_football.jpg,287bd178-5d56-4473-83ca-ac1dc30dd366
2025-10-06,10/06,Girls Soccer,girls-soccer,jv,JV,05:45 PM,Away,@,Canfield,Cardinals,Canfield Cardinals,Canfield High School,false,false,2025-10-06_jv_girls-soccer,2025-10-06_jv_girls-soccer.jpg,cd46a1a8-0077-4610-8118-bfaa21e6aab7
2025-10-06,10/06,Volleyball,volleyball,jv,JV,06:00 PM,Away,@,Springfield,Tigers,Springfield Tigers,Springfield High School,false,false,2025-10-06_jv_volleyball,2025-10-06_jv_volleyball.jpg,5561fa27-3c81-4583-abba-6a9f208eafb8
2025-10-09,10/09,Volleyball,volleyball,jv,JV,05:30 PM,Home,vs,Howland,Tigers,Howland Tigers,Poland Seminary High School,false,false,2025-10-09_jv_volleyball,2025-10-09_jv_volleyball.jpg,1a5fbd0c-bffe-4e81-a2ea-da8be383430b
2025-10-11,10/11,Football,football,jv,JV,10:00 AM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,false,false,2025-10-11_jv_football,2025-10-11_jv_football.jpg,2beea4f9-8c61-4866-9faf-f9c700040f29
2025-10-11,10/11,Boys Soccer,boys-soccer,jv,JV,01:00 PM,Away,@,Marlington,Dukes,Marlington Dukes,Marlington High School,false,false,2025-10-11_jv_boys-soccer,2025-10-11_jv_boys-soccer.jpg,47089ca3-1ad5-420f-a737-df7a45fea989
2025-10-13,10/13,Boys Soccer,boys-soccer,jv,JV,05:30 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,false,false,2025-10-13_jv_boys-soccer,2025-10-13_jv_boys-soccer.jpg,f8079b77-2606-463a-8591-b6855fdbc543
2025-10-18,10/18,Football,football,jv,JV,10:00 AM,Away,@,United,Golden Eagles,United Golden Eagles,United High School,false,false,2025-10-18_jv_football,2025-10-18_jv_football.jpg,fca2b4b7-ed48-43aa-ae5f-1d810e003f4a
