eventDate,cleanDate,season,seasonType,sport,sportSlug,gender,levelSlug,levelLabel,teamSlug,eventTime,homeOrAway,vsOrAt,opponent,opponentMascot,opponentComplete,location,eventType,teamScore,opponentScore,result,isCancelled,isPostponed,isTimeTBD,conferenceGame,postSlug,posterFile,eventId
2026-08-17,08/17,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Niles,Red Dragons,Niles Red Dragons,Poland Seminary High School,Game,5,0,Win,false,false,false,true,2026-08-17_girls-tennis,2026-08-17_girls-tennis.jpg,7551ab6f-6312-4033-b4a8-52d22d985e82
2026-08-18,08/18,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Ursuline,Fighting Irish,Ursuline Fighting Irish,Poland Seminary High School,Game,,,,false,false,false,false,2026-08-18_girls-tennis,2026-08-18_girls-tennis.jpg,8a2482bf-d241-45f7-bef3-7791cb573a5e
2026-08-19,08/19,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Girard,Indians,Girard Indians,Poland Seminary High School,Game,4,1,Win,false,false,false,true,2026-08-19_girls-tennis,2026-08-19_girls-tennis.jpg,38b424c4-7263-4314-90c2-c69aaa139682
2026-08-25,08/25,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Away,@,Lakeview,Bulldogs,Lakeview Bulldogs,Lakeview High School,Game,3,2,Win,false,false,false,true,2026-08-25_girls-tennis,2026-08-25_girls-tennis.jpg,cf230b77-13df-4c2f-bc74-9bf725cbe3d7
2026-08-31,08/31,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Austintown Fitch,Falcons,Austintown Fitch Falcons,Poland Seminary High School,Game,5,0,Win,false,false,false,false,2026-08-31_girls-tennis,2026-08-31_girls-tennis.jpg,ee2ef54b-47dc-4ade-a4f3-598a7fd1f17e
2026-09-01,09/01,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Liberty,Leopards,Liberty Leopards,Poland Seminary High School,Game,,,,false,false,false,false,2026-09-01_girls-tennis,2026-09-01_girls-tennis.jpg,52d56352-f8f5-4692-a56f-fe7377cef88f
2026-09-02,09/02,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Canfield,Cardinals,Canfield Cardinals,Poland Seminary High School,Game,,,,false,false,false,false,2026-09-02_girls-tennis,2026-09-02_girls-tennis.jpg,897efc54-99ea-48bb-8895-f4514abd3a4e
2026-09-09,09/09,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Away,@,Niles,Red Dragons,Niles Red Dragons,Niles McKinley High School,Game,,,,false,false,false,true,2026-09-09_girls-tennis,2026-09-09_girls-tennis.jpg,4bb6f4cf-3721-4279-be74-86eb4808778a
2026-09-14,09/14,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Away,@,Struthers,Wildcats,Struthers Wildcats,Struthers High School,Game,,,,false,false,false,true,2026-09-14_girls-tennis,2026-09-14_girls-tennis.jpg,ac2ddb42-27c8-44a7-b09b-ac0001afc5e4
2026-09-15,09/15,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Salem,Quakers,Salem Quakers,Poland Seminary High School,Game,,,,false,false,false,false,2026-09-15_girls-tennis,2026-09-15_girls-tennis.jpg,7e09fe41-df57-4128-9561-cb1235d2988c
2026-09-16,09/16,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Lakeview,Bulldogs,Lakeview Bulldogs,Poland Seminary High School,Game,,,,false,false,false,true,2026-09-16_girls-tennis,2026-09-16_girls-tennis.jpg,2db4a838-f95e-457d-90e0-504e9a973dc4
2026-09-17,09/17,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Away,@,Boardman,Spartans,Boardman Spartans,Boardman High School,Game,,,,false,false,false,false,2026-09-17_girls-tennis,2026-09-17_girls-tennis.jpg,f9cd4098-0d5e-44b7-b7a8-bf5977f94a1b
2026-09-21,09/21,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Away,@,Girard,Indians,Girard Indians,Girard Sr High School,Game,,,,false,false,false,true,2026-09-21_girls-tennis,2026-09-21_girls-tennis.jpg,dee8ea10-bc06-4076-b658-7a7c7f881fa0
2026-09-22,09/22,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Boardman,Spartans,Boardman Spartans,Poland Seminary High School,Game,,,,false,false,false,false,2026-09-22_girls-tennis,2026-09-22_girls-tennis.jpg,29458271-1744-4778-97ba-849dff5af245
2026-09-23,09/23,2026,Fall,Girls Tennis,girls-tennis,Girls,varsity,Varsity,girls-tennis-varsity,04:00 PM,Home,vs,Struthers,Wildcats,Struthers Wildcats,Poland Seminary High School,Game,,,,false,false,false,true,2026-09-23_girls-tennis,2026-09-23_girls-tennis.jpg,bd6ee895-d624-47ea-bf34-5e1721a9b71b
